Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    JPN,     .,    .,     ., 1950, 1950, 47,     1,   ACY,       1,0.00122,3.60334,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 48,     1,   ACY,       1,0.00075,3.60456,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1950, 1950, 49,     1,   ACY,       1,0.00036,3.60531,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1950, 1950, 50,    99,   ACY,       1,0.00017,3.60567,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1951, 1951, 14,   -99,   ACY,       1,0.00002,0.00000,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1951, 1951, 15,     1,   ACY,       1,0.00019,0.00002,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1951, 1951, 16,     1,   ACY,       1,0.00110,0.00021,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 17,     1,   ACY,       1,0.00500,0.00131,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 18,     1,   ACY,       1,0.01450,0.00631,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 19,     1,   ACY,       1,0.03444,0.02081,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 20,     1,   ACY,       1,0.06484,0.05525,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 21,     1,   ACY,       1,0.10538,0.12009,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 22,     1,   ACY,       1,0.14742,0.22547,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 23,     1,   ACY,       1,0.18395,0.37289,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 24,     1,   ACY,       1,0.20833,0.55684,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 25,     1,   ACY,       1,0.21978,0.76517,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 26,     1,   ACY,       1,0.22144,0.98495,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 27,     1,   ACY,       1,0.21721,1.20639,       ODE,  estimate,    JPN_01,   .,    0
